freq,psd_x,psd_y,psd_z,psd_xyz
141.3,1.364e+04,2.084e+03,1.318e+03,1.705e+04
142.7,1.160e+04,2.089e+03,1.098e+03,1.479e+04
144.2,1.638e+04,3.384e+03,1.584e+03,2.135e+04
145.7,1.240e+04,2.370e+03,1.317e+03,1.609e+04
147.2,1.178e+04,2.323e+03,1.356e+03,1.546e+04
148.7,1.286e+04,2.932e+03,1.268e+03,1.706e+04
150.2,1.026e+04,2.181e+03,1.157e+03,1.360e+04
151.7,1.177e+04,1.826e+03,1.028e+03,1.462e+04
153.2,1.057e+04,2.109e+03,9.604e+02,1.364e+04
154.6,1.040e+04,1.905e+03,9.204e+02,1.322e+04
156.1,9.100e+03,1.539e+03,9.626e+02,1.160e+04
157.6,1.113e+04,1.785e+03,9.216e+02,1.383e+04
159.1,9.551e+03,1.652e+03,8.427e+02,1.205e+04
160.6,5.817e+03,1.445e+03,7.264e+02,7.988e+03
162.1,7.237e+03,1.821e+03,7.649e+02,9.823e+03
163.6,4.314e+03,1.291e+03,5.102e+02,6.115e+03
165.0,5.523e+03,2.028e+03,6.169e+02,8.168e+03
166.5,3.630e+03,1.507e+03,4.310e+02,5.568e+03
168.0,3.614e+03,1.777e+03,4.145e+02,5.806e+03
169.5,3.565e+03,2.056e+03,4.032e+02,6.024e+03
171.0,2.549e+03,1.531e+03,3.357e+02,4.415e+03
172.5,3.331e+03,2.368e+03,3.578e+02,6.057e+03
174.0,3.155e+03,2.290e+03,3.534e+02,5.798e+03
175.5,2.051e+03,1.666e+03,2.646e+02,3.982e+03
176.9,3.533e+03,3.350e+03,3.943e+02,7.278e+03
178.4,2.228e+03,2.019e+03,2.679e+02,4.514e+03
179.9,2.827e+03,2.844e+03,3.171e+02,5.988e+03
181.4,3.662e+03,3.944e+03,3.131e+02,7.919e+03
182.9,1.980e+03,2.083e+03,1.949e+02,4.258e+03
184.4,3.184e+03,3.561e+03,2.162e+02,6.961e+03
185.9,3.563e+03,4.129e+03,2.528e+02,7.945e+03
187.4,2.387e+03,2.921e+03,1.752e+02,5.483e+03
188.8,3.318e+03,4.276e+03,1.576e+02,7.752e+03
190.3,4.550e+03,5.805e+03,1.761e+02,1.053e+04
191.8,2.497e+03,3.290e+03,1.426e+02,5.930e+03
193.3,3.892e+03,5.220e+03,1.315e+02,9.243e+03
194.8,5.234e+03,6.848e+03,1.304e+02,1.221e+04
196.3,2.833e+03,3.739e+03,1.256e+02,6.698e+03
197.8,4.406e+03,5.998e+03,1.646e+02,1.057e+04
199.2,6.481e+03,8.969e+03,1.684e+02,1.562e+04
200.7,4.465e+03,6.153e+03,1.395e+02,1.076e+04
202.2,3.392e+03,4.782e+03,1.385e+02,8.313e+03
